WG,WR,R,RG,WM,A,B,AI,BI,LF,HF
0.0,2300,3,,,584.2,292.1,23,11.5,0.32,0.45
0,2100,4,,,533.4,266.7,21,10.5,0.35,0.5
1,1800,5,201/U,,457.2,228.6,18,9,0.45,0.63
2,1500,6,202/U,,381,190.5,15,7.5,0.5,0.75
3,1150,8,203/U,,292.1,176.05,11.5,5.75,0.63,0.97
4,975,9,204/U,,247.65,123.825,8.75,4.875,0.75,1.15
5,770,12,205/U,,195.58,97.79,7.7,3.85,0.97,1.45
6,650,14,69/U,,165.1,82.55,6.5,3.25,1.15,1.72
7,510,18,,,129.54,64.77,5.1,2.55,1.45,2.2
8,430,22,104/U,,109.22,54.61,4.3,2.15,1.72,2.6
9A,340,26,112/U,,86.36,43.18,3.4,1.7,2.2,3.3
10,284,32,48/U,,72.136,34.036,2.84,1.34,2.6,3.95
11A,229,40,,,58.166,29.083,2.29,1.145,3.3,4.9
12,187,48,49/U,,47.5488,22.1488,1.872,0.825,3.95,5.85
13,159,58,,,40.386,20.193,1.59,0.795,4.9,7.05
14,137,70,50/U,,34.8488,15.7988,1.372,0.622,5.85,8.2
15,112,84,51/U,,28.4988,12.6238,1.122,0.497,7.05,10
16,90,100,52/U,,22.86,10.16,0.9,0.4,8.2,12.4
17,75,120,,,19.05,9.525,0.75,0.375,10,15
18,62,140,91/U,,15.7988,7.8994,0.622,0.311,12.4,18
19,51,180,,,12.954,6.477,0.51,0.255,15,22
20,42,220,53/U,,10.668,4.318,0.42,0.17,18,26.5
21,34,260,,,8.636,4.318,0.34,0.17,22,33
22,28,320,96/U,,7.112,3.556,0.28,0.14,26.5,40
23,22,400,97/U,,5.6896,2.8448,0.224,0.112,33,50
24,19,500,,,4.7752,2.3876,0.188,0.094,40,60
25,15,620,98/U,,3.7592,1.8796,0.148,0.074,50,75
26,12,740,99/U,,3.0988,1.5494,0.122,0.061,60,90
27,10,900,,2540,2.54,1.27,0.1,0.05,75,110
28,8,1200,138/U,2031,2.032,1.016,0.08,0.04,90,140
29,6,1400,136/U,1651,1.651,0.8255,0.065,0.0325,110,170
30,5,1800,135/U,1295,1.2954,0.6477,0.051,0.0255,140,220
31,4,2200,137/U,1092,1.0922,0.5461,0.043,0.0215,170,260
32,3,2600,139/U,864,0.8636,0.4318,0.034,0.017,220,330
,2.8,,,710,0.71,0.355,0.02795,0.01398,260,400
,2.2,,,570,0.57,0.285,0.02244,0.01122,330,500
,1.9,,,470,0.47,0.235,0.0185,0.009252,400,600
,1.5,,,380,0.38,0.19,0.01496,0.00748,500,750
,1.2,,,310,0.31,0.155,0.0122,0.006102,600,900
,1,,,250,0.25,0.125,0.009843,0.004921,750,1100
,,,,200,0.2,0.1,0.007874,0.003937,900,1400
,,,,164,0.164,0.082,0.006457,0.003228,1100,1700
,,,,130,0.13,0.065,0.005118,0.002559,1400,2200
,,,,106,0.106,0.053,0.004173,0.002087,1700,2600
,,,,86,0.086,0.043,0.003386,0.001693,2200,3300
,,,,71,0.071,0.0355,0.002795,0.001398,2600,4000
,,,,57,0.057,0.0285,0.002244,0.001122,3300,5000
